DateTime,Time,MeasurementCount,OverallJudgment,#d1,#d2,Judgment1,Judgment2,Judgment3,Judgment4,WireLength,WireWidth,TerminalWidth,WireTerminalDistance,WireAngle,InspectionArea,UnpeeledArea,#go,#auto,OutputBufferMargin
28/08/2024,23:59:59,68284289,OK,0,0,0,0,0,0,0.20559,0.06004,0.09164,0.21172,81.99219,0.00756,0,1,0,100
28/08/2024,23:59:59,68284288,OK,0,0,0,0,0,0,0.20559,0.06004,0.09164,0.21172,81.99219,0.00756,0,1,1,100
28/08/2024,23:59:59,68284287,OK,0,0,0,0,0,0,0.2113,0.06004,0.08848,0.20066,80.32422,0.00768,0,1,0,100
28/08/2024,23:59:59,68284286,OK,0,0,0,0,0,0,0.2113,0.06004,0.08848,0.20066,80.32422,0.00768,0,4,1,100
28/08/2024,23:59:59,68284285,OK,0,0,0,0,0,0,0.23042,0.06004,0.09796,0.18644,83.69141,0.0087,0,1,0,100
28/08/2024,23:59:59,68284284,OK,0,0,0,0,0,0,0.23042,0.06004,0.09796,0.18644,83.69141,0.0087,0,3,1,100
28/08/2024,23:59:59,68284283,OK,0,0,0,0,0,0,0.2298,0.05688,0.08532,0.1817,85.03125,0.00868,0,1,0,100
28/08/2024,23:59:59,68284282,OK,0,0,0,0,0,0,0.2298,0.05688,0.08532,0.1817,85.03125,0.00868,0,2,1,100
28/08/2024,23:59:59,68284281,OK,0,0,0,0,0,0,0.20973,0.06004,0.08848,0.20698,81.98438,0.00768,0,1,0,100
28/08/2024,23:59:58,68284280,OK,0,0,0,0,0,0,0.20973,0.06004,0.08848,0.20698,81.98438,0.00768,0,1,1,100
28/08/2024,23:59:58,68284279,OK,0,0,0,0,0,0,0.20823,0.06004,0.09164,0.18328,82.63281,0.00762,0,1,0,100
28/08/2024,23:59:58,68284278,OK,0,0,0,0,0,0,0.20823,0.06004,0.09164,0.18328,82.63281,0.00762,0,4,1,100
28/08/2024,23:59:58,68284277,OK,0,0,0,0,0,0,0.23543,0.06004,0.0948,0.19118,82.62109,0.00882,0,1,0,100
28/08/2024,23:59:58,68284276,OK,0,0,0,0,0,0,0.23543,0.06004,0.0948,0.19118,82.62109,0.00882,0,3,1,100
28/08/2024,23:59:58,68284275,OK,0,0,0,0,0,0,0.23428,0.06004,0.08216,0.18486,83.70703,0.00877,0,1,0,100
28/08/2024,23:59:58,68284274,OK,0,0,0,0,0,0,0.23428,0.06004,0.08216,0.18486,83.70703,0.00877,0,2,1,100
28/08/2024,23:59:58,68284273,OK,0,0,0,0,0,0,0.20381,0.06004,0.08848,0.21962,80.49219,0.00756,0,1,0,100
28/08/2024,23:59:57,68284272,OK,0,0,0,0,0,0,0.20381,0.06004,0.08848,0.21962,80.49219,0.00756,0,1,1,100
28/08/2024,23:59:57,68284271,OK,0,0,0,0,0,0,0.20063,0.06004,0.08848,0.19434,81,0.00747,0,1,0,100
28/08/2024,23:59:57,68284270,OK,0,0,0,0,0,0,0.20063,0.06004,0.08848,0.19434,81,0.00747,0,4,1,100
28/08/2024,23:59:57,68284269,OK,0,0,0,0,0,0,0.25875,0.06004,0.09164,0.1896,83.15234,0.00927,0,1,0,100
28/08/2024,23:59:57,68284268,OK,0,0,0,0,0,0,0.25875,0.06004,0.09164,0.1896,83.15234,0.00927,0,3,1,100
28/08/2024,23:59:57,68284267,OK,0,0,0,0,0,0,0.2496,0.05688,0.08532,0.17222,85.91406,0.00908,0,1,0,100
28/08/2024,23:59:57,68284266,OK,0,0,0,0,0,0,0.2496,0.05688,0.08532,0.17222,85.91406,0.00908,0,2,1,100
28/08/2024,23:59:57,68284265,OK,0,0,0,0,0,0,0.21341,0.06004,0.09164,0.20224,82.9375,0.00775,0,1,0,100
28/08/2024,23:59:57,68284264,OK,0,0,0,0,0,0,0.21341,0.06004,0.09164,0.20224,82.9375,0.00775,0,1,1,100
28/08/2024,23:59:56,68284263,OK,0,0,0,0,0,0,0.19933,0.06004,0.08848,0.18802,81.41016,0.00742,0,1,0,100
28/08/2024,23:59:56,68284262,OK,0,0,0,0,0,0,0.19933,0.06004,0.08848,0.18802,81.41016,0.00742,0,4,1,100
28/08/2024,23:59:56,68284261,OK,0,0,0,0,0,0,0.24345,0.06004,0.09796,0.20224,82.02734,0.00895,0,1,0,100
28/08/2024,23:59:56,68284260,OK,0,0,0,0,0,0,0.24345,0.06004,0.09796,0.20224,82.02734,0.00895,0,3,1,100
