DateTime,Time,MeasurementCount,OverallJudgment,SP_No,SP_Side,S1X,S1Y,S1L,S2X,S2Y,S2L,F1X,F1Y,F1L,F2X,F2Y,F2L,OutputBufferMargin
29/08/2024,21:06.0,8442353,OK,4,2,2.43286,1.19233,0.20058,2.4344,1.28319,0.19122,2.4446,1.2214,0.19143,2.41984,1.22327,0.19756,100
29/08/2024,21:06.0,8442352,OK,5,1,2.40857,1.18961,0.16808,2.42835,1.24467,0.16792,2.42101,1.2076,0.15071,2.40377,1.25676,0.17353,100
29/08/2024,21:06.0,8442351,OK,5,2,2.43314,1.1941,0.20319,2.43357,1.29213,0.18912,2.41595,1.20999,0.16163,2.3995,1.26031,0.17965,100
29/08/2024,21:06.0,8442350,OK,6,1,2.42164,1.18799,0.18417,2.44262,1.23645,0.20883,2.45937,1.25157,0.21571,2.4315,1.23926,0.20377,100
29/08/2024,21:06.0,8442349,OK,6,2,2.40664,1.16368,0.1797,2.45156,1.27321,0.19551,2.47116,1.2546,0.2052,2.42398,1.23834,0.20758,100
29/08/2024,21:06.0,8442348,OK,7,1,2.41031,1.20135,0.17398,2.46168,1.23948,0.20332,2.48328,1.19149,0.21513,2.40158,1.26186,0.17551,100
29/08/2024,21:06.0,8442347,OK,7,2,2.42997,1.18994,0.1984,2.44152,1.25503,0.19462,2.4573,1.24673,0.20041,2.41589,1.20991,0.19435,100
29/08/2024,21:06.0,8442346,OK,8,1,2.41815,1.19563,0.19267,2.43873,1.21258,0.19455,2.41577,1.21419,0.16156,2.4055,1.24443,0.19018,100
29/08/2024,21:05.0,8442345,OK,8,2,2.42902,1.17838,0.18948,2.42237,1.26394,0.18588,2.42278,1.24201,0.17622,2.43762,1.21101,0.20793,100
29/08/2024,21:05.0,8442344,OK,9,1,2.42275,1.19768,0.18891,2.42631,1.28063,0.18849,2.45502,1.23736,0.20711,2.44984,1.21693,0.22597,100
29/08/2024,21:05.0,8442343,OK,9,2,2.4221,1.18221,0.1812,2.41983,1.2934,0.16998,2.45366,1.27535,0.19381,2.4447,1.19503,0.21379,100
29/08/2024,21:05.0,8442342,OK,10,1,2.42997,1.18995,0.19602,2.42927,1.24045,0.18686,2.45313,1.25475,0.20073,2.43903,1.21237,0.21507,100
29/08/2024,21:05.0,8442341,OK,10,2,2.4226,1.18822,0.1803,2.4344,1.25852,0.18101,2.47392,1.23653,0.21053,2.45204,1.20445,0.21974,100
29/08/2024,21:05.0,8442340,OK,11,1,2.44425,1.17331,0.20157,2.42406,1.27191,0.18855,2.45178,1.18665,0.20572,2.44393,1.28666,0.21049,100
29/08/2024,21:05.0,8442339,OK,11,2,2.47544,1.16483,0.23426,2.42867,1.28455,0.19178,2.4269,1.23408,0.17976,2.44109,1.22454,0.2096,100
29/08/2024,21:05.0,8442338,OK,12,1,2.43973,1.18463,0.2038,2.4543,1.18123,0.2103,2.47379,1.21763,0.21983,2.45184,1.2396,0.22587,100
29/08/2024,21:05.0,8442337,OK,12,2,2.45161,1.19812,0.20975,2.42526,1.22954,0.19214,2.48209,1.23403,0.23905,2.47337,1.23033,0.2413,100
29/08/2024,20:53.0,8442336,OK,1,1,2.42773,1.181,0.18776,2.43923,1.29446,0.19612,2.45004,1.29115,0.19693,2.43847,1.18771,0.2085,100
